Species,1964,1965,1966,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Rock Ptarmigan,1,0,0,0,8,0,10,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharp-tailed Grouse,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,15,1,5,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,13,11,13,8,5,0,3,0,-1,0,1
Grouse sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0
Ptarmigan sp.,0,0,0,0,0,29,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,5,8,7,0,5,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Murre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Bald Eagle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,27,12
Sharp-shinned Hawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Northern Goshawk,1,0,0,0,1,1,1,3,2,0,0,-1,0,-1,5,1,3,0,-1,0,0,1,-1,1,1,3,-1,1,0,0,1,1,3,6,1,7,3,2,2,1,3,2,1,-1,1,1,1,1,0,1,7,0,4,8,3,2,1,1,2,2
Peregrine Falcon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gyrfalcon,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falcon sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock Pigeon,0,0,0,0,0,0,0,0,0,11,0,0,59,172,35,66,182,166,29,15,105,123,170,717,521,339,172,72,289,345,398,326,247,541,133,288,91,249,131,123,545,134,277,145,81,698,384,321,452,531,927,549,661,351,532,410,160,179,451,356
Great Horned Owl,0,0,0,-1,0,-1,-1,-1,0,0,0,1,-1,0,1,1,1,0,0,0,0,0,2,3,-1,0,0,1,0,2,0,1,1,3,1,2,2,2,-1,2,6,-1,2,-1,-1,-1,4,-1,0,1,3,1,4,-1,1,-1,1,-1,1,3
Northern Hawk Owl,0,0,-1,3,3,1,6,0,1,2,1,0,0,2,0,0,1,2,0,0,0,0,0,-1,0,0,0,0,1,2,1,0,0,2,-1,3,1,0,0,-1,8,0,1,2,0,2,0,0,0,0,2,0,0,0,-1,0,1,1,1,0
Great Grey Owl,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Boreal Owl,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,1,1,0,2,1,0,-1,3,3,-1,-1,-1,-1,-1,-1,-1,0,1,-1,4,1,0,-1,4,1,0,1,-1
Snowy Owl,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Downy Woodpecker,2,1,2,4,4,2,1,1,2,5,6,3,5,4,14,10,13,16,9,8,16,11,13,12,7,9,8,7,10,16,22,23,29,34,28,29,14,26,13,21,23,22,22,22,33,39,45,18,13,18,20,22,18,35,31,65,24,40,49,35
Hairy Woodpecker,2,0,1,2,1,0,1,-1,0,3,1,3,2,4,8,10,7,10,4,0,7,6,6,16,18,10,9,4,10,21,20,30,37,29,19,22,20,23,19,30,33,26,26,37,26,44,30,26,25,23,15,26,28,45,30,52,28,43,39,46
American Three-toed Woodpecker,0,0,-1,1,0,0,-1,-1,-1,1,0,1,1,2,3,2,5,3,2,1,1,0,1,1,1,0,4,0,2,3,2,0,3,-1,2,3,2,5,1,5,3,4,2,2,4,1,2,1,1,1,3,1,4,0,3,6,0,4,1,2
Black-backed Woodpecker,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,1
Woodpecker sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,2,1,1,1,3,5,3,3,5,3,7,0,1,1,4,4,10,3,0,1,2,1,4,3,7,9,1,7,0,2
Northern Shrike,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,2,0,1,1,2,0,1,0,0,1,2,1,-1,0,-1,0,1,4,2,1,2,0,0,0,3,1,1,4,0,3,0,1,2,1
Canada Jay,11,2,20,29,54,50,21,8,26,14,34,28,79,44,29,44,39,59,52,35,69,70,53,72,53,37,52,36,66,58,49,55,38,72,57,126,115,135,92,127,161,125,87,66,43,114,105,125,65,98,136,114,98,101,147,170,62,113,113,103
Black-billed Magpie,0,0,4,0,0,0,-1,3,1,1,2,2,2,4,1,0,1,1,1,1,1,0,0,1,5,4,2,0,1,2,0,-1,3,4,0,3,5,7,5,17,9,6,5,8,2,10,12,12,3,5,13,7,26,18,18,13,5,17,13,7
Common Raven,0,66,17,175,141,117,377,394,524,200,225,649,677,845,609,383,563,417,239,167,346,275,518,560,564,570,1482,1034,810,959,911,814,989,1049,1343,2501,1326,1413,2007,1767,1644,1459,1505,991,1638,1428,1252,807,1134,821,640,868,723,818,911,1238,1120,1557,1255,927
Black-capped Chickadee,0,33,56,36,85,56,47,82,47,135,67,98,111,118,111,109,129,196,128,336,406,290,408,401,278,228,416,251,520,465,540,419,472,718,476,984,937,615,644,851,1177,1012,1011,761,739,1206,800,584,540,537,826,947,602,935,1177,1537,915,1199,1142,1310
Boreal Chickadee,0,1,25,10,17,26,15,38,44,56,100,36,78,40,44,34,105,127,60,73,216,71,151,161,206,70,89,55,127,176,93,155,116,136,108,275,269,168,107,239,217,298,249,200,203,280,212,194,79,85,222,118,164,243,262,463,170,241,272,247
Gray-headed Chickadee,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chickadee sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,27,0,10,0,0,4,59,20,44,34,34,205,57,172,90,38,5,56,46,20,28,22,9,80,64,62,46,25,45,56,22,56,42,143,56,159,92,68
Red-breasted Nuthatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,23,5,3,9,5,7,7,4,4,5,4,4,5,6,3,7,1,11,3,9,8,11,14,8,21,28,55,47,61,74,68
